tweet_topic,user_id,user_URL,created_at,URL,tweet_text,sentiment,pos_possibility,neg_possibility,neu_possibility,state,gender,age,count_retweet,count_like,count_reply,original_status_id
wearing-mask-australia,bwtibbitts, https://twitter.com/bwtibbitts,2020-11-14 08:13:46,https://twitter.com/i/web/status/1327374122364653568,RT @OMGno2trump: This will sound harsh but it's because the truth is harsh.  We're having a deadly pandemic that's exploding out of control…,neutral,0.18705,0.2257,0.58725,Victoria,Male,(8-12),0,0,0,1327312637500207105
wearing-mask-australia,Pc_Free_Zone, https://twitter.com/Pc_Free_Zone,2020-11-14 07:58:28,https://twitter.com/i/web/status/1327370271892770816,RT @KaitMarieox: The same people that accused Trump of doing nothing to fight coronavirus are now going to be completely silent about him g…,negative,0.00668,0.80917,0.18415,Queensland,Female,(38-43),0,0,0,1327367555636482048
wearing-mask-australia,Russell23320359, https://twitter.com/Russell23320359,2020-11-14 08:38:33,https://twitter.com/i/web/status/1327380358505979904,RT @USlawreview: If the danger from this pandemic narrative was true the people would DEMAND &amp; IMPLEMENT solutions to protect THEMSELVES. T…,negative,0.00545,0.74408,0.25047,Queensland,Male,(25-32),0,0,0,1327282606715654144
wearing-mask-australia,jazmasigan_2, https://twitter.com/jazmasigan_2,2020-11-10 11:42:10,https://twitter.com/i/web/status/1325977016521256960,RT @CBSNews: Biden: This election is over. It's time to put aside the partisanship and the rhetoric that is designed to demonize one anoth…,neutral,0.08489,0.16284,0.75228,South Australia,Male,(38-43),0,0,0,1325846265700245505
wearing-mask-australia,pixie725, https://twitter.com/pixie725,2020-11-15 09:06:26,https://twitter.com/i/web/status/1327749761584168960,"RT @DanRather: AMERICA. WAKE UP. NOW!!!! With COVID, we know what works. Wear masks. Social distance. Wash hands. A vaccine is coming. But…",neutral,0.06013,0.23742,0.70245,Western Australia,Female,(38-43),0,0,0,1327681719483338752
wearing-mask-australia,Randomschantz, https://twitter.com/Randomschantz,2020-11-14 08:53:53,https://twitter.com/i/web/status/1327384215227412485,RT @SMurray1000: @B52Malmet People need to understand that this is a virus like the flu virus. It is already mutating which is why people a…,neutral,0.09216,0.15746,0.75038,,Male,(8-12),0,0,0,1327383932594049024
wearing-mask-australia,mrn487, https://twitter.com/mrn487,2020-11-16 17:53:26,https://twitter.com/i/web/status/1328244775586131970,"RT @drvyom: So I'm assuming they are using masks in the South Australian aged care facilities with the #covid19sa positive staff members, r…",neutral,0.03523,0.22992,0.73485,New South Wales,Male,(25-32),0,0,0,1328202642695176193
wearing-mask-australia,Lesb1ben, https://twitter.com/Lesb1ben,2020-11-14 08:36:00,https://twitter.com/i/web/status/1327379714051338254,RT @JLBarrow: How privileged is your life where wearing a mask is the most oppressed you’ve ever felt?,negative,0.02731,0.5479,0.42479,Victoria,Male,(60-100),0,0,0,1327314019145932800
wearing-mask-australia,davestwittylife, https://twitter.com/davestwittylife,2020-11-14 07:59:01,https://twitter.com/i/web/status/1327370408035635200,"Pence is telling folks to wear a mask. If Republicans can’t distinguish themselves from Democrats, what’s the point?",negative,0.00208,0.89647,0.10145,New South Wales,Female,(38-43),0,9,0,
wearing-mask-australia,CaptainAdvance1, https://twitter.com/CaptainAdvance1,2020-11-17 06:51:17,https://twitter.com/i/web/status/1328440527713234944,"@mdnij34 I'm Australian but will trust experts. Although the vaccines are promising in protection, the unknown is whether people will still be carriers. Do they protect from symptoms or prevent being infectious? If no, masks will become redundant. More studies needed.",neutral,0.02575,0.38907,0.58517,,Female,(8-12),0,2,0,1328340461224927232
wearing-mask-australia,_bre_nic, https://twitter.com/_bre_nic,2020-11-16 08:55:30,https://twitter.com/i/web/status/1328109399139774466,RT @Kacy_thomas22: Everybody hating on Inslee like it’s his fault y’all dumb ass mfs don’t wanna wear a mask or follow some guidelines 🙇🏽‍♂️,negative,0.00339,0.9058,0.09081,,Female,(38-43),0,0,0,1328043046198382592
wearing-mask-australia,JaneDryden4, https://twitter.com/JaneDryden4,2020-11-16 08:30:03,https://twitter.com/i/web/status/1328102995360428035,Fauci is a total fraud. There's a simple answer to this: DON'T take a pointless vaccine and DON'T wear a useless mask. Problem solved. https://t.co/Re2vUF36my,negative,0.00113,0.96044,0.03843,New South Wales,Male,(60-100),0,1,0,
wearing-mask-australia,JaneDryden4, https://twitter.com/JaneDryden4,2020-11-16 09:01:21,https://twitter.com/i/web/status/1328110870895996931,@danielconvissor @sourdope 'Cases'. Utter crap. You believe China's figures? Big a fool are you. Why would you wear a mask and social distance to avoid possibly spreading or contracting a disease which is much less dangerous than 'flu for the vast majority. WHY?,negative,0.00139,0.94963,0.04898,New South Wales,Male,(60-100),0,0,0,1328109693588414471
