tweet_topic,user_id,user_URL,created_at,URL,tweet_text,sentiment,pos_possibility,neg_possibility,neu_possibility,state,gender,age
wearing-mask-australia,Lorrain02859519, https://twitter.com/Lorrain02859519,2020-07-15 13:41:29,https://twitter.com/i/web/status/1283396270749450240,RT @GregHuntMP: And here’s how a professional wears a mask. Chief Nursing &amp; Midwifery Officer Allison McMillan explains how to put on &amp; tak…,neutral,0.27661,0.03186,0.69141,Victoria,,
wearing-mask-australia,Lorrain02859519, https://twitter.com/Lorrain02859519,2020-07-15 14:08:34,https://twitter.com/i/web/status/1283403083297353734,"RT @GregHuntMP: Do I need to wear a mask?   This infographic explains when you need to wear a mask, and how to use a mask properly.   For m…",neutral,0.30762,0.02454,0.66797,Victoria,,
wearing-mask-australia,LuciellaES, https://twitter.com/LuciellaES,2020-07-19 01:25:45,https://twitter.com/i/web/status/1284660665601241089,RT @abcnews: #BREAKING: People living in metropolitan Melbourne and Mitchell Shire will now be required to wear face masks outside their ho…,negative,0.02921,0.55859,0.41235,Victoria,,
wearing-mask-australia,BahnertGeoff, https://twitter.com/BahnertGeoff,2020-07-18 00:34:18,https://twitter.com/i/web/status/1284285330900701184,@BelindaJones68 @David_Speers Maybe he could wear a mask so we don't have to  look at his fucking smirking face,negative,0.00299,0.92285,0.0741,Northern Territory,,
wearing-mask-australia,lauren56427046, https://twitter.com/lauren56427046,2020-07-19 01:34:56,https://twitter.com/i/web/status/1284662976029458432,RT @abcnews: #BREAKING: People living in metropolitan Melbourne and Mitchell Shire will now be required to wear face masks outside their ho…,negative,0.02921,0.55859,0.41235,,,
wearing-mask-australia,JaydenMcCrae3, https://twitter.com/JaydenMcCrae3,2020-07-19 04:34:54,https://twitter.com/i/web/status/1284708266635784192,"@abcnews I am happy to wear a facemask, but the issue is I don't have one, the only way to get a facemask is by visiting a pharmacy without one.",negative,0.00155,0.91602,0.08252,,,
wearing-mask-australia,a_warming, https://twitter.com/a_warming,2020-07-22 21:21:41,https://twitter.com/i/web/status/1286048796544135168,"RT @mjrowland68: The head of @TheDohertyInst, @ProfSharonLewin adds her voice to calls to make Melbourne joggers wear masks. She tells @bre…",neutral,0.19507,0.14685,0.6582,Victoria,,
wearing-mask-australia,TinaKendrick11, https://twitter.com/TinaKendrick11,2020-07-21 23:41:52,https://twitter.com/i/web/status/1285721685400997888,"RT @billbowtell: Politics makes pandemics worse, not better. Science and evidence totally clear that masks greatly impede transmission and…",negative,0.00788,0.78662,0.20544,New South Wales,Female,(60-100)
wearing-mask-australia,TinaKendrick11, https://twitter.com/TinaKendrick11,2020-07-23 11:59:59,https://twitter.com/i/web/status/1286269827825324032,"RT @Kon__K: To people seeking asylum, as masks become mandatory in Melbourne, if you can’t access one and are trapped at home in need of fo…",neutral,0.04877,0.28662,0.66455,New South Wales,Female,(60-100)
wearing-mask-australia,TinaKendrick11, https://twitter.com/TinaKendrick11,2020-07-23 12:04:36,https://twitter.com/i/web/status/1286270988879986689,"RT @Kon__K: To all refugee families the @ASRC1 deliver food to during this pandemic, know deliveries from Monday will include masks with th…",neutral,0.06003,0.2522,0.6875,New South Wales,Female,(60-100)
wearing-mask-australia,that_sam_guy, https://twitter.com/that_sam_guy,2020-07-19 01:59:54,https://twitter.com/i/web/status/1284669261223358464,RT @abcnews: #BREAKING: People living in metropolitan Melbourne and Mitchell Shire will now be required to wear face masks outside their ho…,negative,0.02921,0.55859,0.41235,,,
wearing-mask-australia,Sulphurcocky1, https://twitter.com/Sulphurcocky1,2020-07-22 07:44:34,https://twitter.com/i/web/status/1285843161328185344,"RT @ausgov: From midnight tonight (Wed 22 July), people living in metropolitan Melbourne and Mitchell Shire will be required to wear a mask…",neutral,0.05774,0.37451,0.56787,,,
wearing-mask-australia,_catwest, https://twitter.com/_catwest,2020-07-19 06:04:43,https://twitter.com/i/web/status/1284730869735763968,RT @abcnews: #BREAKING: People living in metropolitan Melbourne and Mitchell Shire will now be required to wear face masks outside their ho…,negative,0.02921,0.55859,0.41235,,,
wearing-mask-australia,DianaPegoraro, https://twitter.com/DianaPegoraro,2020-07-21 23:50:28,https://twitter.com/i/web/status/1285723850588774400,"RT @billbowtell: Politics makes pandemics worse, not better. Science and evidence totally clear that masks greatly impede transmission and…",negative,0.00788,0.78662,0.20544,New South Wales,,
wearing-mask-australia,GarradKrisann, https://twitter.com/GarradKrisann,2020-07-19 07:29:28,https://twitter.com/i/web/status/1284752198283350016,RT @abcnews: #BREAKING: People living in metropolitan Melbourne and Mitchell Shire will now be required to wear face masks outside their ho…,negative,0.02921,0.55859,0.41235,,,
wearing-mask-australia,rodp48, https://twitter.com/rodp48,2020-07-22 00:29:11,https://twitter.com/i/web/status/1285733593680089090,RT @GMegalogenis: Trump going pro mask leaves Scott Morrison as one of the last leaders not to wear one. PM's dilemma: does he wait for Jon…,neutral,0.04486,0.19788,0.75732,Victoria,,
wearing-mask-australia,rodp48, https://twitter.com/rodp48,2020-07-22 00:30:17,https://twitter.com/i/web/status/1285733873385693191,"RT @Kon__K: As wearing masks 😷 becomes mandatory in Melbourne, the @ASRC1 will in our Foodbank home delivery packages to families starting…",neutral,0.11237,0.09308,0.79443,Victoria,,
wearing-mask-australia,AmandaLNeil, https://twitter.com/AmandaLNeil,2020-07-22 00:26:50,https://twitter.com/i/web/status/1285733003084406786,"RT @billbowtell: Politics makes pandemics worse, not better. Science and evidence totally clear that masks greatly impede transmission and…",negative,0.00788,0.78662,0.20544,Tasmania,,
wearing-mask-australia,bdazzle129, https://twitter.com/bdazzle129,2020-07-19 03:20:50,https://twitter.com/i/web/status/1284689627597533185,"@austrliantulip @abcnews just an FYI, how does being forced to wear a mask make this happen in australia? i'd love to know https://t.co/0VthN9xIis",neutral,0.02618,0.41382,0.56006,Western Australia,,
wearing-mask-australia,rebeccabgray, https://twitter.com/rebeccabgray,2020-07-19 05:29:48,https://twitter.com/i/web/status/1284722082341781506,RT @abcnews: #BREAKING: People living in metropolitan Melbourne and Mitchell Shire will now be required to wear face masks outside their ho…,negative,0.02921,0.55859,0.41235,,,
wearing-mask-australia,Vince34359049, https://twitter.com/Vince34359049,2020-07-20 09:34:59,https://twitter.com/i/web/status/1285146175213985793,"@KColdrey @vanOnselenP @DanielAndrewsMP No sunshine,  Morrison and the National CMO said there was no need to wear masks,  ok to go back to school and work etc (for months now)... but not for him to go back to parliament..",negative,0.00142,0.92969,0.06909,Victoria,,
wearing-mask-australia,seoseungwoo19, https://twitter.com/seoseungwoo19,2020-07-19 14:28:20,https://twitter.com/i/web/status/1284857608763916289,RT @9NewsMelb: Everyone in Melbourne MUST wear a face mask in a huge change to how we go about daily life.  The mandatory order applies to…,neutral,0.17102,0.10864,0.72021,,,
wearing-mask-australia,ForLovenFreedom, https://twitter.com/ForLovenFreedom,2020-07-21 05:31:22,https://twitter.com/i/web/status/1285447254615056385,"Far Right Aussies: Vote &amp; Support the LNP Govt to Arbitrarily imprison &amp; torture migrants in Detention Centres for years, in the name of safety of Australian Community  Also Far Right Aussies: Forcing us to wear masks during #Covid19 is breaching our Human Rights  #auspol  🙄",negative,0.03198,0.93604,0.03198,,,
wearing-mask-australia,ForLovenFreedom, https://twitter.com/ForLovenFreedom,2020-07-21 08:46:15,https://twitter.com/i/web/status/1285496299551244288,RT @ForLovenFreedom: Far Right Aussies: Vote &amp; Support the LNP Govt to Arbitrarily imprison &amp; torture migrants in Detention Centres for yea…,negative,0.04666,0.59033,0.36304,,,
wearing-mask-australia,Boatyboy1, https://twitter.com/Boatyboy1,2020-07-19 01:56:59,https://twitter.com/i/web/status/1284668527069126657,RT @abcnews: #BREAKING: People living in metropolitan Melbourne and Mitchell Shire will now be required to wear face masks outside their ho…,negative,0.02921,0.55859,0.41235,New South Wales,,
wearing-mask-australia,Co_Power_, https://twitter.com/Co_Power_,2020-07-20 05:21:05,https://twitter.com/i/web/status/1285082279883051008,"RT @AngelaBellM: Have you bought a facemask? We have created a go-to shopping guide on where you can purchase masks from Australian made, e…",positive,0.6167,0.02509,0.35815,,,
wearing-mask-australia,annect64, https://twitter.com/annect64,2020-07-22 02:11:22,https://twitter.com/i/web/status/1285759311222726658,"RT @billbowtell: Politics makes pandemics worse, not better. Science and evidence totally clear that masks greatly impede transmission and…",negative,0.00788,0.78662,0.20544,Victoria,,
wearing-mask-australia,ObserverParafox, https://twitter.com/ObserverParafox,2020-07-21 05:40:14,https://twitter.com/i/web/status/1285449486941040641,RT @BelindaJones68: - Treasurer comes directly from COVID19 hotspot in lockdown  - Gets a 'special exemption' from CMO to travel to Canberr…,neutral,0.04724,0.30225,0.65039,,,
wearing-mask-australia,ObserverParafox, https://twitter.com/ObserverParafox,2020-07-21 22:44:32,https://twitter.com/i/web/status/1285707259918651392,"RT @BelindaJones68: Oh grow up @jeff_kennett  PM was NOT 'calm and patient', he was 'irritable &amp; untruthful', he ought to be taken to task…",negative,0.01709,0.96582,0.01709,,,
wearing-mask-australia,ObserverParafox, https://twitter.com/ObserverParafox,2020-07-22 04:17:43,https://twitter.com/i/web/status/1285791105775091712,"RT @billbowtell: Politics makes pandemics worse, not better. Science and evidence totally clear that masks greatly impede transmission and…",negative,0.00788,0.78662,0.20544,,,
wearing-mask-australia,travellator2, https://twitter.com/travellator2,2020-07-21 07:00:42,https://twitter.com/i/web/status/1285469735954583552,RT @BelindaJones68: - Treasurer comes directly from COVID19 hotspot in lockdown  - Gets a 'special exemption' from CMO to travel to Canberr…,neutral,0.04724,0.30225,0.65039,Victoria,,
