tweet_topic,user_id,user_URL,created_at,URL,tweet_text,sentiment,pos_possibility,neg_possibility,neu_possibility,state,gender,age
wearing-mask-australia,tropicalgyndoc, https://twitter.com/tropicalgyndoc,2020-08-10 22:57:43,https://twitter.com/i/web/status/1292958332806995970,RT @GraceKennedyGrp: August 7th to 14th has been designated #WorldMaskWeek by the @WHO and other global organizations. We all have a respon…,neutral,0.23523,0.05972,0.70508,Victoria,Female,(48-53)
wearing-mask-australia,BragoVictoria, https://twitter.com/BragoVictoria,2020-08-10 20:57:23,https://twitter.com/i/web/status/1292928053039919104,"RT @thomdunn: Ahhhh so we can't force students to wear masks IN school, but we CAN control the way they dress *at home.*  https://t.co/abLX…",negative,0.00562,0.98877,0.00562,Victoria,Female,(25-32)
wearing-mask-australia,Pc_Free_Zone, https://twitter.com/Pc_Free_Zone,2020-08-10 21:57:51,https://twitter.com/i/web/status/1292943267567292417,RT @DeAnna4Congress: My friend is on a flight right now and he was wearing a KN95 mask.  They came up to him and told him he had to take hi…,neutral,0.02591,0.31665,0.65723,Queensland,Female,(38-43)
wearing-mask-australia,rhapsodynbloom, https://twitter.com/rhapsodynbloom,2020-08-10 21:15:47,https://twitter.com/i/web/status/1292932681311944705,"RT @AynRandPaulRyan: I haven't seen my mom in over a year.  My kids have to wear masks when they come over and even then, we are afraid to…",negative,0.00605,0.85645,0.1377,Victoria,Female,(25-32)
wearing-mask-australia,bcunningham006, https://twitter.com/bcunningham006,2020-08-10 20:20:49,https://twitter.com/i/web/status/1292918849625440256,RT @mitchellvii: I predict it won't be long before we start seeing a rise of chronic disease resulting from rebreathing your own toxins cau…,negative,0.00614,0.87061,0.12311,Western Australia,Female,(25-32)
wearing-mask-australia,Katebfitz, https://twitter.com/Katebfitz,2020-08-10 20:56:09,https://twitter.com/i/web/status/1292927740279103488,"RT @Feminazibabe: My loved 80-year-old mom, succumbed to COVID-19 tonight. I am heartbroken and shredded. For those of you who refuse to we…",neutral,0.21472,0.34497,0.44043,New South Wales,Female,(48-53)
wearing-mask-australia,ElaineM11584892, https://twitter.com/ElaineM11584892,2020-08-10 22:20:57,https://twitter.com/i/web/status/1292949081606615040,RT @JulianBurnside: No one should raise human rights in answer to the obligation to wear a mask.  Our individual rights have to yield to th…,negative,0.00486,0.85449,0.14038,New South Wales,Female,(8-12)
wearing-mask-australia,namammou_, https://twitter.com/namammou_,2020-08-10 20:27:24,https://twitter.com/i/web/status/1292920506610601984,"RT @_MphoBrown: Also, please stop wearing those face masks with one way exhalation vents/valves. Those aren’t really helping anyone. If the…",negative,0.0033,0.89746,0.09937,,Male,(60-100)
wearing-mask-australia,huskyinternets, https://twitter.com/huskyinternets,2020-08-10 21:47:02,https://twitter.com/i/web/status/1292940545942122496,RT @UW: Wear a mask. Save a life. #MaskUpWA #PopulationHealth https://t.co/6t6xWqkJkr,neutral,0.29077,0.13708,0.57227,Western Australia,Female,(25-32)
wearing-mask-australia,TheSydneyA, https://twitter.com/TheSydneyA,2020-08-10 21:47:13,https://twitter.com/i/web/status/1292940591899324417,RT @battletested5: Surgeon General is blaming Black celebrities in GA for kids not wearing masks  Not Governor Brian Kemp who sued Atlanta…,negative,0.0066,0.75049,0.24304,New South Wales,Male,(48-53)
wearing-mask-australia,alanjoh1949, https://twitter.com/alanjoh1949,2020-08-10 21:09:22,https://twitter.com/i/web/status/1292931066714415104,RT @alanjoh1949: Those who claim they can’t be made to wear a mask when they enter a privately owned shop etc or attend a Government funded…,negative,0.00784,0.75146,0.24072,Western Australia,Female,(48-53)
wearing-mask-australia,Stephen15651324, https://twitter.com/Stephen15651324,2020-08-10 22:44:42,https://twitter.com/i/web/status/1292955057483374597,"RT @mrpjdonovan: People are now accepting this ''normal''. a year ago if we told you, that you would be forced to wear masks, told not to g…",negative,0.01688,0.53711,0.44604,,Female,(25-32)
wearing-mask-australia,pam4254, https://twitter.com/pam4254,2020-08-10 20:03:54,https://twitter.com/i/web/status/1292914590695583744,RT @gatewaypundit: Dentist Warns Too Much Mask-Wearing Can Lead to Harmful ‘Mask Mouth’ https://t.co/HwaKgo9k3F via @gatewaypundit,neutral,0.03769,0.42578,0.53662,Western Australia,Female,(38-43)
