tweet_topic,user_id,user_URL,created_at,URL,tweet_text,sentiment,state,gender,age
wearing-mask-australia,Lorrain02859519, https://twitter.com/Lorrain02859519,2020-07-15 13:41:29,https://twitter.com/i/web/status/1283396270749450240,RT @GregHuntMP: And here’s how a professional wears a mask. Chief Nursing &amp; Midwifery Officer Allison McMillan explains how to put on &amp; tak…,positive,Victoria,,
wearing-mask-australia,Lorrain02859519, https://twitter.com/Lorrain02859519,2020-07-15 14:08:34,https://twitter.com/i/web/status/1283403083297353734,"RT @GregHuntMP: Do I need to wear a mask?   This infographic explains when you need to wear a mask, and how to use a mask properly.   For m…",neutral,Victoria,,
wearing-mask-australia,LuciellaES, https://twitter.com/LuciellaES,2020-07-19 01:25:45,https://twitter.com/i/web/status/1284660665601241089,RT @abcnews: #BREAKING: People living in metropolitan Melbourne and Mitchell Shire will now be required to wear face masks outside their ho…,negative,Victoria,,
wearing-mask-australia,BahnertGeoff, https://twitter.com/BahnertGeoff,2020-07-18 00:34:18,https://twitter.com/i/web/status/1284285330900701184,@BelindaJones68 @David_Speers Maybe he could wear a mask so we don't have to  look at his fucking smirking face,negative,Northern Territory,,
wearing-mask-australia,lauren56427046, https://twitter.com/lauren56427046,2020-07-19 01:34:56,https://twitter.com/i/web/status/1284662976029458432,RT @abcnews: #BREAKING: People living in metropolitan Melbourne and Mitchell Shire will now be required to wear face masks outside their ho…,negative,,,
wearing-mask-australia,JaydenMcCrae3, https://twitter.com/JaydenMcCrae3,2020-07-19 04:34:54,https://twitter.com/i/web/status/1284708266635784192,"@abcnews I am happy to wear a facemask, but the issue is I don't have one, the only way to get a facemask is by visiting a pharmacy without one.",negative,,,
wearing-mask-australia,a_warming, https://twitter.com/a_warming,2020-07-22 21:21:41,https://twitter.com/i/web/status/1286048796544135168,"RT @mjrowland68: The head of @TheDohertyInst, @ProfSharonLewin adds her voice to calls to make Melbourne joggers wear masks. She tells @bre…",neutral,Victoria,,
wearing-mask-australia,TinaKendrick11, https://twitter.com/TinaKendrick11,2020-07-21 23:41:52,https://twitter.com/i/web/status/1285721685400997888,"RT @billbowtell: Politics makes pandemics worse, not better. Science and evidence totally clear that masks greatly impede transmission and…",negative,New South Wales,Female,(60-100)
wearing-mask-australia,TinaKendrick11, https://twitter.com/TinaKendrick11,2020-07-23 11:59:59,https://twitter.com/i/web/status/1286269827825324032,"RT @Kon__K: To people seeking asylum, as masks become mandatory in Melbourne, if you can’t access one and are trapped at home in need of fo…",negative,New South Wales,Female,(60-100)
wearing-mask-australia,TinaKendrick11, https://twitter.com/TinaKendrick11,2020-07-23 12:04:36,https://twitter.com/i/web/status/1286270988879986689,"RT @Kon__K: To all refugee families the @ASRC1 deliver food to during this pandemic, know deliveries from Monday will include masks with th…",positive,New South Wales,Female,(60-100)
wearing-mask-australia,that_sam_guy, https://twitter.com/that_sam_guy,2020-07-19 01:59:54,https://twitter.com/i/web/status/1284669261223358464,RT @abcnews: #BREAKING: People living in metropolitan Melbourne and Mitchell Shire will now be required to wear face masks outside their ho…,negative,,,
wearing-mask-australia,Sulphurcocky1, https://twitter.com/Sulphurcocky1,2020-07-22 07:44:34,https://twitter.com/i/web/status/1285843161328185344,"RT @ausgov: From midnight tonight (Wed 22 July), people living in metropolitan Melbourne and Mitchell Shire will be required to wear a mask…",negative,,,
wearing-mask-australia,_catwest, https://twitter.com/_catwest,2020-07-19 06:04:43,https://twitter.com/i/web/status/1284730869735763968,RT @abcnews: #BREAKING: People living in metropolitan Melbourne and Mitchell Shire will now be required to wear face masks outside their ho…,negative,,,
wearing-mask-australia,DianaPegoraro, https://twitter.com/DianaPegoraro,2020-07-21 23:50:28,https://twitter.com/i/web/status/1285723850588774400,"RT @billbowtell: Politics makes pandemics worse, not better. Science and evidence totally clear that masks greatly impede transmission and…",negative,New South Wales,,
wearing-mask-australia,GarradKrisann, https://twitter.com/GarradKrisann,2020-07-19 07:29:28,https://twitter.com/i/web/status/1284752198283350016,RT @abcnews: #BREAKING: People living in metropolitan Melbourne and Mitchell Shire will now be required to wear face masks outside their ho…,negative,,,
wearing-mask-australia,rodp48, https://twitter.com/rodp48,2020-07-22 00:29:11,https://twitter.com/i/web/status/1285733593680089090,RT @GMegalogenis: Trump going pro mask leaves Scott Morrison as one of the last leaders not to wear one. PM's dilemma: does he wait for Jon…,neutral,Victoria,,
wearing-mask-australia,rodp48, https://twitter.com/rodp48,2020-07-22 00:30:17,https://twitter.com/i/web/status/1285733873385693191,"RT @Kon__K: As wearing masks 😷 becomes mandatory in Melbourne, the @ASRC1 will in our Foodbank home delivery packages to families starting…",negative,Victoria,,
