tweet_topic,user_id,user_URL,created_at,URL,tweet_text,sentiment,state,gender,age
wearing-mask-australia,TinaKendrick11, https://twitter.com/TinaKendrick11,2020-07-24 23:30:13,https://twitter.com/i/web/status/1286805921193025536,RT @ManusAlert: We refugees in PNG received warning message from PIH about Corona virus. PIH &amp; JDA never provided us with face masks or han…,negative,New South Wales,Female,(60-100)
wearing-mask-australia,TinaKendrick11, https://twitter.com/TinaKendrick11,2020-07-25 23:47:43,https://twitter.com/i/web/status/1287172711756619777,"RT @KArandjelovic: Despite distancing and masks, health care workers are more likely to be exposed by covid than the average Australian, ce…",negative,New South Wales,Female,(60-100)
wearing-mask-australia,AnthonyTravelEd, https://twitter.com/AnthonyTravelEd,2020-07-22 08:04:30,https://twitter.com/i/web/status/1285848181255757830,"RT @smh: Qantas and Jetstar will make mask use mandatory for passengers on all flights to and from Melbourne from Thursday, saying the poli…",negative,New South Wales,Male,(48-53)
wearing-mask-australia,AnthonyTravelEd, https://twitter.com/AnthonyTravelEd,2020-07-26 22:02:57,https://twitter.com/i/web/status/1287508734860603392,America unmasked. https://t.co/i7TO6BMiYe,negative,New South Wales,Male,(48-53)
wearing-mask-australia,conserv1951, https://twitter.com/conserv1951,2020-07-26 22:38:08,https://twitter.com/i/web/status/1287517587887108096,Which mask to wear. N95 are best. Socks? No. False medical advice. https://t.co/lqwV0xMB3d,negative,Queensland,Male,(8-12)
wearing-mask-australia,conserv1951, https://twitter.com/conserv1951,2020-07-26 22:45:54,https://twitter.com/i/web/status/1287519542864801792,@GreyHaired07 Front line workers should be wearing N95 respirators.,negative,Queensland,Male,(8-12)
wearing-mask-australia,conserv1951, https://twitter.com/conserv1951,2020-07-26 22:56:12,https://twitter.com/i/web/status/1287522134198063104,@HbAlpaca @goodfoodgal N95 filters 3 microns. Far smaller than dust. Yes it allows unfiltered exhale to reduce stress on your respiratory system. It will filter most virus particles. Surgical mask only filter large droplets. That’s my point. Socks are useless.,neutral,Queensland,Male,(8-12)
wearing-mask-australia,AlexDevantier, https://twitter.com/AlexDevantier,2020-07-20 23:46:31,https://twitter.com/i/web/status/1285360471588012032,RT @BelindaJones68: - Treasurer comes directly from COVID19 hotspot in lockdown  - Gets a 'special exemption' from CMO to travel to Canberr…,negative,Victoria,Female,(38-43)
wearing-mask-australia,GeorgeCockroft, https://twitter.com/GeorgeCockroft,2020-07-26 11:36:56,https://twitter.com/i/web/status/1287351190267637761,@MaxKolbe12 @ScrtDrugAddict It's illegal for me to sit outside alone  I'm Australian gun right stupidity is an American thing  They mandated face masks  Hey separate story I went to California and there was a guy in a wetsuit carrying an oven on Venice beach,negative,,Female,(8-12)
wearing-mask-australia,GeorgeCockroft, https://twitter.com/GeorgeCockroft,2020-07-26 22:57:40,https://twitter.com/i/web/status/1287522501833052160,@colinmjames Did twitter ban a pro mask stance?,negative,,Female,(8-12)
wearing-mask-australia,JohnRob16933826, https://twitter.com/JohnRob16933826,2020-07-21 08:17:31,https://twitter.com/i/web/status/1285489067610664960,RT @BelindaJones68: - Treasurer comes directly from COVID19 hotspot in lockdown  - Gets a 'special exemption' from CMO to travel to Canberr…,negative,Victoria,Female,(25-32)
wearing-mask-australia,JohnRob16933826, https://twitter.com/JohnRob16933826,2020-07-26 09:31:21,https://twitter.com/i/web/status/1287319588095459328,RT @deniseshrivell: Why do I get the feeling there’s going to be much media about these people refusing the wear masks - but absolutely no…,negative,Victoria,Female,(25-32)
