tweet_topic,user_id,user_URL,created_at,URL,tweet_text,sentiment,pos_possibility,neg_possibility,neu_possibility,state,gender,age,count_retweet,count_like,count_reply,original_status_id
mental-health-awareness-australia,MADinMelbourne, https://twitter.com/MADinMelbourne,2020-08-29 21:27:10,https://twitter.com/i/web/status/1299669922067312642,"RT @CraigKellyMP: For free 24/7 mental health support during the coronavirus, please visit - https://t.co/WzHLoPQLGY or call 1800 512 348 h…",neutral,0.30475,0.11146,0.58379,Victoria,Female,(38-43),0,0,0,1248239083433811970
mental-health-general-australia,AlexDevantier, https://twitter.com/AlexDevantier,2020-09-27 21:12:25,https://twitter.com/i/web/status/1310175456423866368,"RT @AaronDodd: Isn't it interesting how concerned @ScottMorrisonMP &amp; @JoshFrydenberg claim to be about the mental-health of Victorians, y…",negative,0.01926,0.96149,0.01926,Victoria,Female,(38-43),0,0,0,1310132068425195520
mental-health-general-australia,AlexDevantier, https://twitter.com/AlexDevantier,2020-10-01 11:43:20,https://twitter.com/i/web/status/1311481792877088768,RT @PRGuy17: When we say shitty journalism is failing Victorians - causing the people of Victoria real harm and anxiety - these are the exa…,negative,0.00553,0.91181,0.08266,Victoria,Female,(38-43),0,0,0,1311472580079960064
mental-health-awareness-australia,JohnRob16933826, https://twitter.com/JohnRob16933826,2020-09-11 21:31:43,https://twitter.com/i/web/status/1304382107104337920,RT @AlboMP: This is a really challenging topic for many. If you or anyone you know needs help:  Lifeline on 13 11 14  Kids Helpline on 1800…,neutral,0.32975,0.10407,0.56619,Victoria,Female,(25-32),0,0,0,1303831892123238402
mental-health-general-australia,JohnRob16933826, https://twitter.com/JohnRob16933826,2020-09-27 18:34:57,https://twitter.com/i/web/status/1310135827758940161,"RT @AaronDodd: Isn't it interesting how concerned @ScottMorrisonMP &amp; @JoshFrydenberg claim to be about the mental-health of Victorians, y…",negative,0.01926,0.96149,0.01926,Victoria,Female,(25-32),0,0,0,1310132068425195520
mental-health-general-australia,NickTrebla, https://twitter.com/NickTrebla,2020-09-28 08:45:32,https://twitter.com/i/web/status/1310349884902367232,"RT @AaronDodd: Isn't it interesting how concerned @ScottMorrisonMP &amp; @JoshFrydenberg claim to be about the mental-health of Victorians, y…",negative,0.01926,0.96149,0.01926,New South Wales,Male,(60-100),0,0,0,1310132068425195520
mental-health-general-australia,NickTrebla, https://twitter.com/NickTrebla,2020-09-28 17:38:57,https://twitter.com/i/web/status/1310484124906393600,"RT @DrKW12: @Judith54Nunn @abcnews @ScottMorrisonMP Yes, love his concern for our mental health. The main threat to our family's mental hea…",negative,0.00748,0.98504,0.00748,New South Wales,Male,(60-100),0,0,0,1310442505926631424
mental-health-general-australia,NickTrebla, https://twitter.com/NickTrebla,2020-10-01 20:40:11,https://twitter.com/i/web/status/1311616896236548096,RT @MadFckingWitch: Jesus fucking christ on a crumpet: this fucking woman saying “every time I see the Premier I feel anxiety” about the fu…,negative,0.00271,0.92563,0.07166,New South Wales,Male,(60-100),0,0,0,1311581998759043077
mental-health-general-australia,NickTrebla, https://twitter.com/NickTrebla,2020-10-03 19:54:37,https://twitter.com/i/web/status/1312330204467978241,"RT @YonSolitary: #AssangeTrial Prosecution Expert Witness Psychiatrist minimised Julian's Suicidal Tendency, Severe Depression, Aspergers,…",negative,0.01792,0.64474,0.33734,New South Wales,Male,(60-100),0,0,0,1311953056704000001
mental-health-general-australia,NickTrebla, https://twitter.com/NickTrebla,2020-10-04 12:37:33,https://twitter.com/i/web/status/1312582600456695809,RT @vanbadham: People. At. The. Top. End. Do. Not. Spend. In. A. Crisis. They. Hoard. We. Have. Known. This. Since. The. Great. Depression.…,negative,0.03763,0.61543,0.34694,New South Wales,Male,(60-100),0,0,0,1312521935608193024
mental-health-general-australia,hazard_damien, https://twitter.com/hazard_damien,2020-09-17 11:48:14,https://twitter.com/i/web/status/1306409598597750784,RT @DanielBleakley: @ScottMorrisonMP @PatMcGorry @orygen_aus One of the biggest causes of mental health problems in young people is anxiety…,neutral,0.14341,0.12047,0.73612,New South Wales,Female,(38-43),0,0,0,1306406935168647169
mental-health-awareness-australia,UnQuietAust, https://twitter.com/UnQuietAust,2020-09-30 23:49:33,https://twitter.com/i/web/status/1311302164938027009,"RT @JuliaGillard: A new, dedicated support service designed to help all Australians cope with the impact of the COVID-19 pandemic on their…",positive,0.83107,0.01456,0.15437,,Male,(38-43),0,0,0,1248048214709657600
