tweet_topic,user_id,user_URL,created_at,URL,tweet_text,sentiment,pos_possibility,neg_possibility,neu_possibility,state,gender,age,count_retweet,count_like,count_reply,original_status_id
mental-health-awareness-australia,MADinMelbourne, https://twitter.com/MADinMelbourne,2020-08-29 21:27:10,https://twitter.com/i/web/status/1299669922067312642,"RT @CraigKellyMP: For free 24/7 mental health support during the coronavirus, please visit - https://t.co/WzHLoPQLGY or call 1800 512 348 h…",neutral,0.30475,0.11146,0.58379,Victoria,Female,(38-43),0,0,0,1248239083433811970
mental-health-availability-australia,MADinMelbourne, https://twitter.com/MADinMelbourne,2020-10-27 19:10:31,https://twitter.com/i/web/status/1321016415957127168,RT @MillyMolly300: What utter rubbish @abcnews  Victoria now being 'envy of the world'? LOL It's tracing system is worst in Australia. More…,negative,0.00182,0.95317,0.04502,Victoria,Female,(38-43),0,0,0,1320836491988234243
mental-health-general-australia,conserv1951, https://twitter.com/conserv1951,2020-10-15 05:50:21,https://twitter.com/i/web/status/1316466393416568833,RT @waldowns: ⁦@GregHuntMP⁩ says Melb has now met the threshold to move out of #COVID19 lockdown.  How are ⁦@DanielAndrewsMP⁩ &amp; ⁦@Victorian…,neutral,0.13706,0.09022,0.77272,Queensland,Male,(8-12),0,0,0,1316271999958700034
mental-health-general-australia,PeterBo49858290, https://twitter.com/PeterBo49858290,2020-10-14 20:37:13,https://twitter.com/i/web/status/1316327192213610496,RT @PollyWi92611992: @JohnLavis1 @talkingtothetv The most damaging thing on mental health is the profound affect of lying to people on a co…,neutral,0.08596,0.33923,0.5748,Victoria,Female,(60-100),0,0,0,1316266298528026624
mental-health-general-australia,PeterBo49858290, https://twitter.com/PeterBo49858290,2020-10-27 17:33:27,https://twitter.com/i/web/status/1320991987944681472,"RT @CraigHill01: So @ScottMorrisonMP claims to be concerned about the mental health of Victorians in lockdown for three months, but thinks…",negative,0.0048,0.75482,0.24038,Victoria,Female,(60-100),0,0,0,1319980206581444610
mental-health-general-australia,Pc_Free_Zone, https://twitter.com/Pc_Free_Zone,2020-10-15 13:10:16,https://twitter.com/i/web/status/1316577101105917952,RT @waldowns: ⁦@GregHuntMP⁩ says Melb has now met the threshold to move out of #COVID19 lockdown.  How are ⁦@DanielAndrewsMP⁩ &amp; ⁦@Victorian…,neutral,0.13706,0.09022,0.77272,Queensland,Female,(38-43),0,0,0,1316271999958700034
mental-health-availability-australia,Pc_Free_Zone, https://twitter.com/Pc_Free_Zone,2020-10-15 18:09:30,https://twitter.com/i/web/status/1316652406826921986,RT @RosemaryDiaz13: 'Simply won't cop it': The Victorian Premier has spectacularly clashed with Peta Credlin during a volatile media confer…,neutral,0.08239,0.42701,0.4906,Queensland,Female,(38-43),0,0,0,1316598400150691841
mental-health-general-australia,JohnRob16933826, https://twitter.com/JohnRob16933826,2020-10-15 06:36:01,https://twitter.com/i/web/status/1316477886870687745,RT @normboy562: To @joshfrydenberg @TimWilsonMP @GregHuntMP and the rest of Morrison's brigade of doom and gloom prophets. I have been in s…,negative,0.03729,0.49558,0.46713,Victoria,Female,(25-32),0,0,0,1316470342852829184
mental-health-availability-australia,JohnRob16933826, https://twitter.com/JohnRob16933826,2020-10-25 23:03:19,https://twitter.com/i/web/status/1320350227627294720,"RT @jillastark: I don't want to hear Liberals concerns about Melbourne's mental health. This from a govt that gave us Robodebt, slashed J…",negative,0.00221,0.93344,0.06435,Victoria,Female,(25-32),0,0,0,1320174823163662337
mental-health-general-australia,NickTrebla, https://twitter.com/NickTrebla,2020-10-15 06:41:03,https://twitter.com/i/web/status/1316479153474994179,RT @normboy562: To @joshfrydenberg @TimWilsonMP @GregHuntMP and the rest of Morrison's brigade of doom and gloom prophets. I have been in s…,negative,0.03729,0.49558,0.46713,New South Wales,Male,(60-100),0,0,0,1316470342852829184
