tweet_topic,user_id,user_URL,created_at,URL,tweet_text,sentiment,pos_possibility,neg_possibility,neu_possibility,state,gender,age
mental-health-awareness-australia,JohnRob16933826, https://twitter.com/JohnRob16933826,2020-08-10 11:59:14,https://twitter.com/i/web/status/1292792622872813571,RT @FiMcLeodSC: @abcrothers Peeps. Dont put up with it. You can leave your home to escape violence in lockdown   Call 000 if in danger http…,negative,0.02991,0.61631,0.35377,Victoria,Female,(25-32)
mental-health-awareness-australia,JohnRob16933826, https://twitter.com/JohnRob16933826,2020-08-10 11:59:14,https://twitter.com/i/web/status/1292792622872813571,RT @FiMcLeodSC: @abcrothers Peeps. Dont put up with it. You can leave your home to escape violence in lockdown   Call 000 if in danger http…,negative,0.03008,0.61523,0.35449,Victoria,Female,(25-32)
mental-health-availability-australia,mrn487, https://twitter.com/mrn487,2020-08-10 08:04:07,https://twitter.com/i/web/status/1292733451267801089,"RT @KarolinaVoit: Australia is the 10th richest nation.  Why do we have  poverty, homelessness  cuts to public education, hospitals, mental…",negative,0.01284,0.76709,0.21997,New South Wales,Male,(25-32)
mental-health-availability-australia,mrn487, https://twitter.com/mrn487,2020-08-10 08:04:07,https://twitter.com/i/web/status/1292733451267801089,"RT @KarolinaVoit: Australia is the 10th richest nation.  Why do we have  poverty, homelessness  cuts to public education, hospitals, mental…",negative,0.01284,0.76716,0.22,New South Wales,Male,(25-32)
mental-health-availability-australia,mrn487, https://twitter.com/mrn487,2020-08-10 08:04:07,https://twitter.com/i/web/status/1292733451267801089,"RT @KarolinaVoit: Australia is the 10th richest nation.  Why do we have  poverty, homelessness  cuts to public education, hospitals, mental…",negative,0.01285,0.76709,0.21985,New South Wales,Male,(25-32)
mental-health-general-australia,DanaScully2, https://twitter.com/DanaScully2,2020-08-16 09:07:28,https://twitter.com/i/web/status/1294923723263205376,"RT @glendasutardy: @tanya_plibersek @ScottMorrisonMP Incredibly shortsighted. The way things are going for many Australians, we are going t…",negative,0.00517,0.91442,0.08041,South Australia,Female,(25-32)
mental-health-awareness-australia,rick_rampal, https://twitter.com/rick_rampal,2020-06-29 11:49:26,https://twitter.com/i/web/status/1277569864194912256,RT @JuliaGillard: I welcome the Australian Gov’s commitment to addressing the mental health needs of all Australians in these difficult tim…,positive,0.88902,0.00594,0.10503,,Male,(25-32)
mental-health-awareness-australia,rick_rampal, https://twitter.com/rick_rampal,2020-06-29 11:49:26,https://twitter.com/i/web/status/1277569864194912256,RT @JuliaGillard: I welcome the Australian Gov’s commitment to addressing the mental health needs of all Australians in these difficult tim…,positive,0.88916,0.00593,0.10498,,Male,(25-32)
mental-health-general-australia,CaptainAdvance1, https://twitter.com/CaptainAdvance1,2020-08-10 23:20:02,https://twitter.com/i/web/status/1292963950674370561,RT @shalailah: PM @ScottMorrisonMP has announced a doubling of Medicare-subsidised sessions with a mental health professional if you're liv…,neutral,0.08881,0.14673,0.76465,,Female,(8-12)
mental-health-general-australia,CaptainAdvance1, https://twitter.com/CaptainAdvance1,2020-08-10 23:20:02,https://twitter.com/i/web/status/1292963950674370561,RT @shalailah: PM @ScottMorrisonMP has announced a doubling of Medicare-subsidised sessions with a mental health professional if you're liv…,neutral,0.08891,0.1467,0.76439,,Female,(8-12)
