tweet_topic,user_id,user_URL,created_at,URL,tweet_text,sentiment,pos_possibility,neg_possibility,neu_possibility,state,gender,age,count_retweet,count_like,count_reply,original_status_id
mental-health-awareness-australia,MADinMelbourne, https://twitter.com/MADinMelbourne,2020-08-29 11:27:10,https://twitter.com/i/web/status/1299669922067312642,"RT @CraigKellyMP: For free 24/7 mental health support during the coronavirus, please visit - https://t.co/WzHLoPQLGY or call 1800 512 348 h…",neutral,0.30475,0.11146,0.58379,Victoria,Female,(38-43),0,0,,
mental-health-general-australia,AlexDevantier, https://twitter.com/AlexDevantier,2020-09-01 09:52:48,https://twitter.com/i/web/status/1300733338387279874,RT @slsandpet: @Jessica85345840 @edie_le @jaci_wiley @AlexDevantier @DanielAndrewsMP @ScottMorrisonMP @AngusTaylorMP There are mental healt…,neutral,0.13712,0.08435,0.77853,Victoria,Female,(38-43),0,0,,
mental-health-general-australia,AlexDevantier, https://twitter.com/AlexDevantier,2020-09-06 21:39:32,https://twitter.com/i/web/status/1302723130360643584,"RT @drpete00: Joint press release about VIC from @ScottMorrisonMP, @JoshFrydenberg &amp; @GregHuntMP today.  Here’s the first 3 paragraphs: - E…",neutral,0.0985,0.09756,0.80394,Victoria,Female,(38-43),0,0,0.0,1302516911511539712
mental-health-general-australia,AlexDevantier, https://twitter.com/AlexDevantier,2020-09-09 02:01:22,https://twitter.com/i/web/status/1303513798133735426,"RT @slamup: I hope everyone in Melbourne made their bed this morning, and if you didn’t, you only have yourself to blame for depression, de…",negative,0.03817,0.65037,0.31146,Victoria,Female,(38-43),0,0,,
mental-health-general-australia,AlexDevantier, https://twitter.com/AlexDevantier,2020-09-12 12:53:40,https://twitter.com/i/web/status/1304765120485052416,"Fuck this I'm sinking into PTSD depression, fuck fuck fuck, sorry tweeting this will help, so will sending 50 blow up hammers to Sophie tomorrow https://t.co/SBUjjUeSZp",negative,0.00167,0.96078,0.03755,Victoria,Female,(38-43),0,17,,
mental-health-awareness-australia,JohnRob16933826, https://twitter.com/JohnRob16933826,2020-09-11 11:31:43,https://twitter.com/i/web/status/1304382107104337920,RT @AlboMP: This is a really challenging topic for many. If you or anyone you know needs help:  Lifeline on 13 11 14  Kids Helpline on 1800…,neutral,0.32975,0.10407,0.56619,Victoria,Female,(25-32),0,0,0.0,1303831892123238402
mental-health-awareness-australia,JohnRob16933826, https://twitter.com/JohnRob16933826,2020-09-14 12:06:35,https://twitter.com/i/web/status/1305478045487099906,RT @vanbadham: You’ll be less lonely if you join a union. #qanda,neutral,0.02949,0.35775,0.61276,Victoria,Female,(25-32),0,0,,
mental-health-awareness-australia,JohnRob16933826, https://twitter.com/JohnRob16933826,2020-09-14 12:49:05,https://twitter.com/i/web/status/1305488741935362053,RT @Hepzibah18: @VeritasEver @TaodeHaas I've had less anxiety not having to put on the mask...it's always quite difficult as someone who en…,negative,0.00716,0.63269,0.36015,Victoria,Female,(25-32),0,0,0.0,1305476472824500224
mental-health-awareness-australia,paulwiggins, https://twitter.com/paulwiggins,2020-09-06 03:31:35,https://twitter.com/i/web/status/1302449340288360448,"RT @DaveismOfficial: There are plenty of services that can also help, such as: Lifeline on 13 11 14 Beyond Blue on 1300 224 636 MensLine Au…",neutral,0.41895,0.11591,0.46514,New South Wales,Male,(60-100),0,0,0.0,1302444251574280192
mental-health-availability-australia,jchimselfbigpo2, https://twitter.com/jchimselfbigpo2,2020-09-02 07:34:06,https://twitter.com/i/web/status/1301060821225582593,"RT @slipperywords: @olarmstrong @wendoureeswans @JoshFrydenberg @ScottMorrisonMP Prof Ian Hickie, from Sydney University's Brain and Mind C…",neutral,0.19498,0.07422,0.7308,Queensland,Female,(60-100),0,0,,
mental-health-general-australia,jchimselfbigpo2, https://twitter.com/jchimselfbigpo2,2020-09-02 07:34:06,https://twitter.com/i/web/status/1301060821225582593,"RT @slipperywords: @olarmstrong @wendoureeswans @JoshFrydenberg @ScottMorrisonMP Prof Ian Hickie, from Sydney University's Brain and Mind C…",neutral,0.19498,0.07422,0.7308,Queensland,Female,(60-100),0,0,,
mental-health-awareness-australia,MaddyLove2018, https://twitter.com/MaddyLove2018,2020-09-03 22:45:48,https://twitter.com/i/web/status/1301652642825822209,RT @VicGovDHHS: [Victorian Coronavirus hotline] ☎️ 1800 675 398 🔗 https://t.co/G8Szqvuk6i  [Coronavirus Mental Wellbeing Support Service] 2…,neutral,0.14051,0.12746,0.73203,,Female,(15-20),0,0,0.0,1300255751974387713
mental-health-recognition-australia,MaddyLove2018, https://twitter.com/MaddyLove2018,2020-09-08 23:30:37,https://twitter.com/i/web/status/1303475863132938242,"@AndrewAndriotis @jamesmagner4 @NotAgai95160538 @VicGovDHHS The Victorian Coroner's Court has said suicide hasn't surged in lockdown https://t.co/rKSNFxKzL0. It's a bit dull, but there's light at the end of the tunnel. And there's a unity in what we're doing that people feel a part of - not so lonely. https://t.co/XhZOzKk43J",neutral,0.39682,0.02798,0.57519,,Female,(15-20),0,11,0.0,1303474789768601600
mental-health-availability-australia,paige_trnr, https://twitter.com/paige_trnr,2020-09-15 04:24:53,https://twitter.com/i/web/status/1305724242307162112,RT @annaspargoryan: Can we do some totally unscientific research I might use in my book? Polls. Australia only please.  Do you feel confide…,neutral,0.02822,0.31217,0.65961,,Female,(38-43),0,0,0.0,1305709251139043328
mental-health-recognition-australia,LeonieGSmith, https://twitter.com/LeonieGSmith,2020-09-12 12:51:56,https://twitter.com/i/web/status/1304764681605709825,RT @smh: The number of Australian streamers making money from Twitch has increased by 350 per cent in the past two years https://t.co/TDx23…,neutral,0.3273,0.11585,0.55685,,Male,(60-100),0,0,0.0,1304737954418561024
mental-health-general-australia,SquanderedTeeth, https://twitter.com/SquanderedTeeth,2020-09-10 05:28:20,https://twitter.com/i/web/status/1303928271227117568,RT @AdamBandt: FFS @ScottMorrisonMP it’s not enough to just ask “R U OK?” you also need to make sure people are ok.  Here’s some first step…,negative,0.00748,0.73909,0.25344,Queensland,Male,(60-100),0,0,0.0,1303920059954282498
mental-health-awareness-australia,rick_rampal, https://twitter.com/rick_rampal,2020-06-29 11:49:26,https://twitter.com/i/web/status/1277569864194912256,RT @JuliaGillard: I welcome the Australian Gov’s commitment to addressing the mental health needs of all Australians in these difficult tim…,positive,0.88902,0.00594,0.10503,,Male,(25-32),0,0,,
mental-health-awareness-australia,rick_rampal, https://twitter.com/rick_rampal,2020-06-29 11:49:26,https://twitter.com/i/web/status/1277569864194912256,RT @JuliaGillard: I welcome the Australian Gov’s commitment to addressing the mental health needs of all Australians in these difficult tim…,positive,0.88916,0.00593,0.10498,,Male,(25-32),0,0,,
mental-health-awareness-australia,KingLouisRocks, https://twitter.com/KingLouisRocks,2020-09-11 10:16:37,https://twitter.com/i/web/status/1304363208233246726,RT @01000011CS: @WgarNews @xskinn @roseannebyrne @lynlinking @WhteRbbnAdvocat @RightsLGBTI @3wombats @KingLouisRocks @Penny_MadamLash @Kosm…,neutral,0.15619,0.12281,0.721,Queensland,Male,(25-32),0,0,0.0,1304350983691014144
mental-health-availability-australia,JaneDryden4, https://twitter.com/JaneDryden4,2020-09-10 07:52:33,https://twitter.com/i/web/status/1303964566909595649,"RT @Ian56789: 🥳👏👍 Bravo!  Sky News host Alan Jones rips apart Australia's insane Covid Lockdown policies causing economic, financial, emoti…",positive,0.67637,0.04686,0.27676,New South Wales,Male,(60-100),0,0,0.0,1303811107333771270
mental-health-recognition-australia,JaneDryden4, https://twitter.com/JaneDryden4,2020-09-10 07:52:33,https://twitter.com/i/web/status/1303964566909595649,"RT @Ian56789: 🥳👏👍 Bravo!  Sky News host Alan Jones rips apart Australia's insane Covid Lockdown policies causing economic, financial, emoti…",positive,0.67637,0.04686,0.27676,New South Wales,Male,(60-100),0,0,,
mental-health-awareness-australia,NalavadiPreeti, https://twitter.com/NalavadiPreeti,2020-09-07 09:38:17,https://twitter.com/i/web/status/1302904010844680192,"RT @1800RESPECT: Violence comes in many forms. If you are in a relationship with someone who uses #violence, support is available. You can…",neutral,0.3455,0.08323,0.57127,South Australia,Female,(48-53),0,0,0.0,1301702779979935744
