tweet_topic,user_id,user_URL,created_at,URL,tweet_text,sentiment,pos_possibility,neg_possibility,neu_possibility,state,gender,age,count_retweet,count_like,count_reply,original_status_id
mental-health-awareness-australia,MADinMelbourne, https://twitter.com/MADinMelbourne,2020-08-29 21:27:10,https://twitter.com/i/web/status/1299669922067312642,"RT @CraigKellyMP: For free 24/7 mental health support during the coronavirus, please visit - https://t.co/WzHLoPQLGY or call 1800 512 348 h…",neutral,0.30475,0.11146,0.58379,Victoria,Female,(38-43),0,0,0,1248239083433811970
mental-health-availability-australia,MADinMelbourne, https://twitter.com/MADinMelbourne,2020-10-27 19:10:31,https://twitter.com/i/web/status/1321016415957127168,RT @MillyMolly300: What utter rubbish @abcnews  Victoria now being 'envy of the world'? LOL It's tracing system is worst in Australia. More…,negative,0.00182,0.95317,0.04502,Victoria,Female,(38-43),0,0,0,1320836491988234243
mental-health-general-australia,PeterBo49858290, https://twitter.com/PeterBo49858290,2020-10-27 17:33:27,https://twitter.com/i/web/status/1320991987944681472,"RT @CraigHill01: So @ScottMorrisonMP claims to be concerned about the mental health of Victorians in lockdown for three months, but thinks…",negative,0.0048,0.75482,0.24038,Victoria,Female,(60-100),0,0,0,1319980206581444610
mental-health-availability-australia,JohnRob16933826, https://twitter.com/JohnRob16933826,2020-11-08 22:40:33,https://twitter.com/i/web/status/1325417927353405440,"RT @TheKouk: Ok Australia.   It’s time to get our shit together and fix the joint.  I look at unemployment, inequality, the environment, ed…",neutral,0.06884,0.37041,0.56075,Victoria,Female,(25-32),0,0,0,1325195305172697088
mental-health-availability-australia,NickTrebla, https://twitter.com/NickTrebla,2020-11-03 11:05:11,https://twitter.com/i/web/status/1323430991600381952,RT @SpotlightForYou: @abcnews The Social Security system is no longer the safety net it was designated to be. That's a real shame for Austr…,negative,0.00241,0.92985,0.06774,New South Wales,Male,(60-100),0,0,0,1323428828413218816
mental-health-availability-australia,jchimselfbigpo2, https://twitter.com/jchimselfbigpo2,2020-10-25 18:45:41,https://twitter.com/i/web/status/1320285392558419968,RT @Zoso771: @navypti @abcnews Hunt is causing mental health anxiety and depression by attacking effective measures to eliminate the virus.…,negative,0.0102,0.81277,0.17703,Queensland,Female,(60-100),0,0,0,1320221993589825538
mental-health-awareness-australia,skritto9, https://twitter.com/skritto9,2020-10-27 09:03:02,https://twitter.com/i/web/status/1320863539381190656,RT @JuliaGillard: Congratulations Victorians on working together to combat COVID 19. I’m sure you will continue in that spirit and keep emb…,positive,0.94691,0.00354,0.04955,Victoria,Female,(25-32),0,0,0,1320637704149762048
mental-health-general-australia,HeleneBlanchard, https://twitter.com/HeleneBlanchard,2020-10-31 14:42:44,https://twitter.com/i/web/status/1322398576517918721,RT @cerce32: @StrayDog67 @davidbewart @ScottMorrisonMP well that guy Bararillo took mental health leave after he advocated for koalas to be…,negative,0.00693,0.64476,0.34831,New South Wales,Female,(25-32),0,0,0,1322386613490479105
mental-health-general-australia,DanaScully2, https://twitter.com/DanaScully2,2020-10-26 13:04:51,https://twitter.com/i/web/status/1320562004319326209,"RT @dexi_jo: @Vic_Rollison @ScottMorrisonMP I’d prefer he didn’t. His next sentence would be an underhanded swipe at state govt decisions,…",negative,0.00348,0.8696,0.12692,South Australia,Female,(25-32),0,0,0,1320537766787072000
mental-health-availability-australia,DanaScully2, https://twitter.com/DanaScully2,2020-11-08 11:23:56,https://twitter.com/i/web/status/1325247648698257408,"RT @TheKouk: Ok Australia.   It’s time to get our shit together and fix the joint.  I look at unemployment, inequality, the environment, ed…",neutral,0.06884,0.37041,0.56075,South Australia,Female,(25-32),0,0,0,1325195305172697088
mental-health-awareness-australia,UnQuietAust, https://twitter.com/UnQuietAust,2020-09-30 23:49:33,https://twitter.com/i/web/status/1311302164938027009,"RT @JuliaGillard: A new, dedicated support service designed to help all Australians cope with the impact of the COVID-19 pandemic on their…",positive,0.83107,0.01456,0.15437,,Male,(38-43),0,0,0,1248048214709657600
