tweet_topic,user_id,user_URL,created_at,URL,tweet_text,sentiment,pos_possibility,neg_possibility,neu_possibility,state,gender,age
mental-health-awareness-australia,MADinMelbourne, https://twitter.com/MADinMelbourne,2020-08-29 11:27:10,https://twitter.com/i/web/status/1299669922067312642,"RT @CraigKellyMP: For free 24/7 mental health support during the coronavirus, please visit - https://t.co/WzHLoPQLGY or call 1800 512 348 h…",neutral,0.30475,0.11146,0.58379,Victoria,Female,(38-43)
mental-health-general-australia,AlexDevantier, https://twitter.com/AlexDevantier,2020-09-01 09:52:48,https://twitter.com/i/web/status/1300733338387279874,RT @slsandpet: @Jessica85345840 @edie_le @jaci_wiley @AlexDevantier @DanielAndrewsMP @ScottMorrisonMP @AngusTaylorMP There are mental healt…,neutral,0.13712,0.08435,0.77853,Victoria,Female,(38-43)
mental-health-general-australia,AlexDevantier, https://twitter.com/AlexDevantier,2020-09-02 00:54:31,https://twitter.com/i/web/status/1300960259226304512,"FFS it wasn't induced by the virus, we were already in it, the depression coming will be because of under spending and moron government, 314 billion promised in stimulus and only 85 billion handed out, is also a major issue https://t.co/eEF6LxyR2n",negative,0.00157,0.94264,0.05579,Victoria,Female,(38-43)
mental-health-general-australia,AlexDevantier, https://twitter.com/AlexDevantier,2020-09-02 11:05:31,https://twitter.com/i/web/status/1301114021932752897,RT @Adeyhorse: @AlexDevantier Is the deciding difference that a depression is presided over by a depressing leadership? Asking for a country,negative,0.00215,0.92491,0.07295,Victoria,Female,(38-43)
mental-health-general-australia,AlexDevantier, https://twitter.com/AlexDevantier,2020-09-02 11:09:00,https://twitter.com/i/web/status/1301114900148707328,RT @MurrayWatt: Australia is now in its worst recession since the Great Depression. And the Morrison’s own decisions are making it worse –…,negative,0.00913,0.84127,0.14959,Victoria,Female,(38-43)
mental-health-availability-australia,NickTrebla, https://twitter.com/NickTrebla,2020-08-24 12:18:00,https://twitter.com/i/web/status/1297870774552780800,RT @MadFckingWitch: A. Several companies in AUS including Beyond Blue &amp; RUOK receive the lion’s share of mental health funding outside hosp…,neutral,0.05016,0.45314,0.4967,New South Wales,Male,(60-100)
mental-health-availability-australia,jchimselfbigpo2, https://twitter.com/jchimselfbigpo2,2020-09-02 07:34:06,https://twitter.com/i/web/status/1301060821225582593,"RT @slipperywords: @olarmstrong @wendoureeswans @JoshFrydenberg @ScottMorrisonMP Prof Ian Hickie, from Sydney University's Brain and Mind C…",neutral,0.19498,0.07422,0.7308,Queensland,Female,(60-100)
mental-health-general-australia,jchimselfbigpo2, https://twitter.com/jchimselfbigpo2,2020-09-02 07:34:06,https://twitter.com/i/web/status/1301060821225582593,"RT @slipperywords: @olarmstrong @wendoureeswans @JoshFrydenberg @ScottMorrisonMP Prof Ian Hickie, from Sydney University's Brain and Mind C…",neutral,0.19498,0.07422,0.7308,Queensland,Female,(60-100)
mental-health-awareness-australia,rick_rampal, https://twitter.com/rick_rampal,2020-06-29 11:49:26,https://twitter.com/i/web/status/1277569864194912256,RT @JuliaGillard: I welcome the Australian Gov’s commitment to addressing the mental health needs of all Australians in these difficult tim…,positive,0.88902,0.00594,0.10503,,Male,(25-32)
mental-health-awareness-australia,rick_rampal, https://twitter.com/rick_rampal,2020-06-29 11:49:26,https://twitter.com/i/web/status/1277569864194912256,RT @JuliaGillard: I welcome the Australian Gov’s commitment to addressing the mental health needs of all Australians in these difficult tim…,positive,0.88916,0.00593,0.10498,,Male,(25-32)
mental-health-recognition-australia,ElaineM11584892, https://twitter.com/ElaineM11584892,2020-08-29 08:59:15,https://twitter.com/i/web/status/1299632695719284736,"RT @racvictoria: 'Depressed, anxious, bored, frustrated': Christmas Island detainees struggle with isolation https://t.co/BUGcwvag9N",negative,0.03057,0.60481,0.36462,New South Wales,Female,(8-12)
mental-health-availability-australia,emm_downunder, https://twitter.com/emm_downunder,2020-08-24 12:31:56,https://twitter.com/i/web/status/1297874279443251202,🇦🇺 Gus Worland talks mental health during COVID and the alarming rate of suicide in Australia.   https://t.co/bzKqduGhsl,neutral,0.41174,0.04638,0.54188,Victoria,Female,(38-43)
mental-health-availability-australia,deeedwardsEF, https://twitter.com/deeedwardsEF,2020-08-24 11:23:32,https://twitter.com/i/web/status/1297857065226924032,RT @neighbour_s: Extraordinary courage shown by the families speaking up tonight on #4Corners about the fatal gaps in mental health care in…,positive,0.91696,0.00681,0.07623,,Male,(60-100)
mental-health-availability-australia,deeedwardsEF, https://twitter.com/deeedwardsEF,2020-08-24 11:23:59,https://twitter.com/i/web/status/1297857179324620801,RT @elisereports: Tonight on @4corners we speak to some incredibly brave families who want you to see their faces and hear their experience…,positive,0.96468,0.00201,0.03331,,Male,(60-100)
mental-health-availability-australia,deeedwardsEF, https://twitter.com/deeedwardsEF,2020-08-24 11:24:15,https://twitter.com/i/web/status/1297857247200964609,"RT @neighbour_s: Families who’ve suffered the tragic consequences of Australia’s broken mental health system tell their stories, in ‘Please…",positive,0.48968,0.06535,0.44497,,Male,(60-100)
mental-health-awareness-australia,KarryonK, https://twitter.com/KarryonK,2020-08-10 00:43:36,https://twitter.com/i/web/status/1292622592646365185,RT @elyasgarad: There is no shame in admitting you are not coping right now None of us have experienced this level of unpredictability and…,negative,0.19531,0.47827,0.32666,,Male,(60-100)
mental-health-awareness-australia,KarryonK, https://twitter.com/KarryonK,2020-08-10 00:43:36,https://twitter.com/i/web/status/1292622592646365185,RT @elyasgarad: There is no shame in admitting you are not coping right now None of us have experienced this level of unpredictability and…,negative,0.19543,0.47803,0.32666,,Male,(60-100)
mental-health-awareness-australia,KarryonK, https://twitter.com/KarryonK,2020-08-10 00:43:36,https://twitter.com/i/web/status/1292622592646365185,RT @elyasgarad: There is no shame in admitting you are not coping right now None of us have experienced this level of unpredictability and…,negative,0.19622,0.47644,0.32734,,Male,(60-100)
mental-health-availability-australia,ingioz, https://twitter.com/ingioz,2020-08-27 00:17:03,https://twitter.com/i/web/status/1298776504143237122,RT @MelissaLDavey: Mental health funding has surged after coronavirus – so why is it so difficult to get help? https://t.co/vJF6bKTt8G,negative,0.01155,0.68798,0.30047,,Female,(8-12)
mental-health-availability-australia,ingioz, https://twitter.com/ingioz,2020-09-01 12:08:28,https://twitter.com/i/web/status/1300767476595060736,RT @NMHC: #GettingThroughThisTogether has been developed in collaboration with Australia's leading mental health organisations and social i…,positive,0.6122,0.02706,0.36074,,Female,(8-12)
mental-health-availability-australia,ingioz, https://twitter.com/ingioz,2020-09-01 12:09:15,https://twitter.com/i/web/status/1300767674486538240,RT @EmbraceMultiMH: The @NMHC has translated its top ten mental health tips on how best to deal with the coronavirus pandemic into five lan…,neutral,0.14509,0.11099,0.74392,,Female,(8-12)
mental-health-recognition-australia,CharlesHolly13, https://twitter.com/CharlesHolly13,2020-08-26 04:49:18,https://twitter.com/i/web/status/1298482630132822017,"RT @opa1420: 'Depressed, anxious, bored, frustrated': Christmas Island detainees struggle with isolation https://t.co/jCC6IpIwJr",negative,0.03057,0.60481,0.36462,,Female,(48-53)
mental-health-recognition-australia,CharlesHolly13, https://twitter.com/CharlesHolly13,2020-08-29 09:14:20,https://twitter.com/i/web/status/1299636491249876992,"RT @racvictoria: 'Depressed, anxious, bored, frustrated': Christmas Island detainees struggle with isolation https://t.co/BUGcwvag9N",negative,0.03057,0.60481,0.36462,,Female,(48-53)
mental-health-awareness-australia,GayleWilliams53, https://twitter.com/GayleWilliams53,2020-08-24 13:29:08,https://twitter.com/i/web/status/1297888673946431494,RT @xskinn: Get immediate help for depression and anxiety - Beyond Blue. If tonight’s 4Corners story has raised any issues remember orgs li…,neutral,0.14556,0.19167,0.66278,,Female,(8-12)
mental-health-awareness-australia,kate_universe, https://twitter.com/kate_universe,2020-08-24 11:13:49,https://twitter.com/i/web/status/1297854620463558657,RT @beyondblue: @ChrisCourtney4 @RonniSalt @GregHuntMP @Bowenchris @JuliaGillard @georgie_harman @ian_hickie @PatMcGorry @ChrisCourtney4 We…,neutral,0.19029,0.11818,0.69153,Victoria,Female,(25-32)
mental-health-awareness-australia,Sukhisandhu188, https://twitter.com/Sukhisandhu188,2020-08-31 22:56:06,https://twitter.com/i/web/status/1300568070562299905,RT @VicGovDHHS: [Victorian Coronavirus hotline] ☎️ 1800 675 398 🔗 https://t.co/G8Szqvuk6i  [Coronavirus Mental Wellbeing Support Service] 2…,neutral,0.14051,0.12746,0.73203,Victoria,Female,(0-2)
mental-health-awareness-australia,LennaLeprena, https://twitter.com/LennaLeprena,2020-08-15 12:10:39,https://twitter.com/i/web/status/1294607435592683534,"RT @JuliaGillard: At a time when people are self-isolating and working from home, it can help to stay connected. The Beyond Blue discussion…",positive,0.72085,0.00937,0.26979,Tasmania,Female,(48-53)
mental-health-availability-australia,LennaLeprena, https://twitter.com/LennaLeprena,2020-08-31 00:05:09,https://twitter.com/i/web/status/1300223062088982528,RT @drpete00: @BreakfastNews @JoshFrydenberg @DanielAndrewsMP .@JoshFrydenberg don’t pretend you care about mental health &amp; then use this a…,negative,0.0057,0.86574,0.12855,Tasmania,Female,(48-53)
mental-health-availability-australia,geebeeWA, https://twitter.com/geebeeWA,2020-08-24 10:49:30,https://twitter.com/i/web/status/1297848501649305600,"RT @neighbour_s: Families who’ve suffered the tragic consequences of Australia’s broken mental health system tell their stories, in ‘Please…",positive,0.48968,0.06535,0.44497,,Male,(38-43)
mental-health-availability-australia,geebeeWA, https://twitter.com/geebeeWA,2020-08-24 11:26:19,https://twitter.com/i/web/status/1297857767940558849,RT @neighbour_s: Extraordinary courage shown by the families speaking up tonight on #4Corners about the fatal gaps in mental health care in…,positive,0.91696,0.00681,0.07623,,Male,(38-43)
mental-health-awareness-australia,MadVet2000, https://twitter.com/MadVet2000,2020-08-31 22:33:46,https://twitter.com/i/web/status/1300562450572406785,RT @VicGovDHHS: [Victorian Coronavirus hotline] ☎️ 1800 675 398 🔗 https://t.co/G8Szqvuk6i  [Coronavirus Mental Wellbeing Support Service] 2…,neutral,0.14051,0.12746,0.73203,Victoria,Female,(60-100)
mental-health-awareness-australia,mr_lewandowski, https://twitter.com/mr_lewandowski,2020-08-27 08:04:55,https://twitter.com/i/web/status/1298894245357473793,RT @bhakthi: Helplines are real and useful:  Lifeline on 13 11 14 Beyond Blue on 1300 224 636 MensLine Australia on 1300 789 978 Suicide Ca…,positive,0.64752,0.05791,0.29457,Victoria,Male,(4-6)
mental-health-general-australia,rubin_angela, https://twitter.com/rubin_angela,2020-08-28 04:44:04,https://twitter.com/i/web/status/1299206090194780160,RT @healthgovau: The impacts of coronavirus are tough and can impact our mental health. We need to make sure we look after ourselves and se…,neutral,0.39465,0.03906,0.56628,Queensland,Female,(60-100)
mental-health-availability-australia,Christo45046444, https://twitter.com/Christo45046444,2020-08-24 12:58:58,https://twitter.com/i/web/status/1297881083539677185,RT @neighbour_s: Extraordinary courage shown by the families speaking up tonight on #4Corners about the fatal gaps in mental health care in…,positive,0.91696,0.00681,0.07623,ACT,Female,(8-12)
mental-health-availability-australia,traverselife, https://twitter.com/traverselife,2020-08-31 03:31:14,https://twitter.com/i/web/status/1300274925211545601,RT @drpete00: @BreakfastNews @JoshFrydenberg @DanielAndrewsMP .@JoshFrydenberg don’t pretend you care about mental health &amp; then use this a…,negative,0.0057,0.86574,0.12855,Victoria,Male,(38-43)
mental-health-awareness-australia,AdyLady9969, https://twitter.com/AdyLady9969,2020-08-28 08:40:33,https://twitter.com/i/web/status/1299265602515689472,RT @MensLine_Aus: MensLine Australia is a free online and phone counselling service for men with emotional health and relationship concerns…,neutral,0.45725,0.07619,0.46656,,Female,(38-43)
mental-health-general-australia,fatima_ishfaq, https://twitter.com/fatima_ishfaq,2020-08-25 23:00:26,https://twitter.com/i/web/status/1298394835712225280,RT @GregHuntMP: COVID-19 restrictions can be tough on mental health.   That’s why the Morrison Government has: •         extended telehealt…,neutral,0.36324,0.0601,0.57666,New South Wales,Female,(8-12)
mental-health-availability-australia,Kate_Nancarrow, https://twitter.com/Kate_Nancarrow,2020-09-02 02:04:17,https://twitter.com/i/web/status/1300977817031647232,RT @SatPaper: “In six years we’ve seen a doubling of the percentage of students thinking of leaving their course early”: How mental health…,neutral,0.12714,0.42634,0.44652,Victoria,Female,(60-100)
mental-health-awareness-australia,MissKymmie77, https://twitter.com/MissKymmie77,2020-08-24 12:32:55,https://twitter.com/i/web/status/1297874527825739776,"RT @1800RESPECT: 1800RESPECT is Australia’s national #sexualassault, family and #domesticviolence support service. Anyone can contact us 24…",positive,0.51758,0.07952,0.4029,,Female,(60-100)
