tweet_topic,user_id,user_URL,created_at,URL,tweet_text,sentiment,pos_possibility,neg_possibility,neu_possibility,state,gender,age
mental-health-awareness-australia,JohnRob16933826, https://twitter.com/JohnRob16933826,2020-08-02 14:02:31,https://twitter.com/i/web/status/1289924544094822403,"RT @EleriB: “Be calm, be kind, be patient”-State of disaster, curfew, compulsory masks, and restrictions on movement in Melbourne. If you n…",neutral,0.1098,0.23926,0.65088,Victoria,Female,(25-32)
mental-health-awareness-australia,JohnRob16933826, https://twitter.com/JohnRob16933826,2020-08-02 14:02:31,https://twitter.com/i/web/status/1289924544094822403,"RT @EleriB: “Be calm, be kind, be patient”-State of disaster, curfew, compulsory masks, and restrictions on movement in Melbourne. If you n…",neutral,0.11011,0.23865,0.65137,Victoria,Female,(25-32)
mental-health-awareness-australia,JohnRob16933826, https://twitter.com/JohnRob16933826,2020-08-10 11:59:14,https://twitter.com/i/web/status/1292792622872813571,RT @FiMcLeodSC: @abcrothers Peeps. Dont put up with it. You can leave your home to escape violence in lockdown   Call 000 if in danger http…,negative,0.02991,0.61631,0.35377,Victoria,Female,(25-32)
mental-health-awareness-australia,JohnRob16933826, https://twitter.com/JohnRob16933826,2020-08-10 11:59:14,https://twitter.com/i/web/status/1292792622872813571,RT @FiMcLeodSC: @abcrothers Peeps. Dont put up with it. You can leave your home to escape violence in lockdown   Call 000 if in danger http…,negative,0.03008,0.61523,0.35449,Victoria,Female,(25-32)
mental-health-general-australia,AlannaSincovich, https://twitter.com/AlannaSincovich,2020-08-03 10:39:12,https://twitter.com/i/web/status/1290235765088083968,RT @_PHAA_: Positive to hear the announcement by @GregHuntMP that Australians under increased restrictions due to the second wave may be ab…,positive,0.65381,0.02486,0.32129,South Australia,Female,(25-32)
mental-health-general-australia,AlannaSincovich, https://twitter.com/AlannaSincovich,2020-08-03 10:39:12,https://twitter.com/i/web/status/1290235765088083968,RT @_PHAA_: Positive to hear the announcement by @GregHuntMP that Australians under increased restrictions due to the second wave may be ab…,positive,0.6543,0.02478,0.32104,South Australia,Female,(25-32)
mental-health-awareness-australia,paulwiggins, https://twitter.com/paulwiggins,2020-08-02 06:29:20,https://twitter.com/i/web/status/1289810496531492864,RT @hamishNews: Loads of valuable mental health resources (include support lines) available during #COVID19Aus - particularly for those in…,positive,0.87305,0.00803,0.1189,New South Wales,Male,(60-100)
mental-health-awareness-australia,paulwiggins, https://twitter.com/paulwiggins,2020-08-02 06:29:20,https://twitter.com/i/web/status/1289810496531492864,RT @hamishNews: Loads of valuable mental health resources (include support lines) available during #COVID19Aus - particularly for those in…,positive,0.87354,0.00801,0.11859,New South Wales,Male,(60-100)
mental-health-awareness-australia,paulwiggins, https://twitter.com/paulwiggins,2020-08-09 03:23:39,https://twitter.com/i/web/status/1292300484175224833,RT @Zalika_R: If you or anyone you know needs help: Lifeline on 13 11 14 Kids Helpline on 1800 551 800 MensLine Australia on 1300 789 978 S…,neutral,0.35911,0.18067,0.46022,New South Wales,Male,(60-100)
mental-health-awareness-australia,paulwiggins, https://twitter.com/paulwiggins,2020-08-09 03:23:39,https://twitter.com/i/web/status/1292300484175224833,RT @Zalika_R: If you or anyone you know needs help: Lifeline on 13 11 14 Kids Helpline on 1800 551 800 MensLine Australia on 1300 789 978 S…,neutral,0.35913,0.18066,0.46021,New South Wales,Male,(60-100)
