tweet_topic,user_id,user_URL,created_at,URL,tweet_text,sentiment,state,gender,age
mental-health-general-australia,Bishop64, https://twitter.com/Bishop64,2020-07-22 05:01:12,https://twitter.com/i/web/status/1285802052216479745,"RT @AmandaPerram: @sclark_melbs @ScottMorrisonMP So the PM follows the health advice on stopping protests, but when it comes to overwhelmin…",neutral,Queensland,Female,(60-100)
mental-health-recognition-australia,paulwiggins, https://twitter.com/paulwiggins,2020-07-17 06:27:24,https://twitter.com/i/web/status/1284011803870019584,"RT @sachiefsci: Despite media reports suggesting Australian alcohol consumption was spiking during #COVID19 lockdowns, @UniversitySA resear…",neutral,New South Wales,Male,(60-100)
mental-health-general-australia,DanaScully2, https://twitter.com/DanaScully2,2020-07-22 03:29:11,https://twitter.com/i/web/status/1285778892427366400,RT @healthgovau: The impacts of coronavirus are tough and can impact our mental health. We need to make sure we look after ourselves and se…,neutral,South Australia,Female,(25-32)
mental-health-awareness-australia,rick_rampal, https://twitter.com/rick_rampal,2020-06-29 11:49:26,https://twitter.com/i/web/status/1277569864194912256,RT @JuliaGillard: I welcome the Australian Gov’s commitment to addressing the mental health needs of all Australians in these difficult tim…,positive,,Male,(25-32)
mental-health-availability-australia,DarrenKilminst1, https://twitter.com/DarrenKilminst1,2020-07-25 09:29:25,https://twitter.com/i/web/status/1286956710897176576,"@steve_wars @TRAPJNR @COVID_Australia Not sure what you're saying at the end.   I've seen people from Beyond Blue, Lifeline and many mental health practitioners interviewed on TV and radio. What I haven't seen are any figures as to whether the number of suicides has increased.",negative,New South Wales,Male,(25-32)
mental-health-availability-australia,poovey_pamela, https://twitter.com/poovey_pamela,2020-07-27 09:44:46,https://twitter.com/i/web/status/1287685351075586050,RT @_QueenHeyonce_: suicide prevention isn’t just posting the suicide hotline. healthcare is suicide prevention. housing is suicide prevent…,negative,,Male,(8-12)
mental-health-availability-australia,JaneDryden4, https://twitter.com/JaneDryden4,2020-07-21 17:53:24,https://twitter.com/i/web/status/1285633993698881543,RT @RitaPanahi: Australia’s top mental health experts have warned that the economic &amp; social effects of the pandemic will lead to a dramati…,negative,New South Wales,Male,(60-100)
mental-health-availability-australia,deeedwardsEF, https://twitter.com/deeedwardsEF,2020-07-25 22:58:11,https://twitter.com/i/web/status/1287160244901044224,RT @VisibleFarmer: Every day in Australia 6 men + 2 women take their own lives.  Rural regions fare the worst.  @RUboggedmate helps rural m…,negative,,Male,(60-100)
mental-health-recognition-australia,Montana2525, https://twitter.com/Montana2525,2020-07-23 00:47:10,https://twitter.com/i/web/status/1286100510215294978,RT @FatEmperor: @RuminatorDan @daniellevitt22 @MLevitt_NP2013 @AlexBerenson The Imperial toilet paper was flushed down the U-Bend here (2 G…,neutral,New South Wales,Female,(38-43)
mental-health-awareness-australia,SenSHenderson, https://twitter.com/SenSHenderson,2020-06-16 08:33:46,https://twitter.com/i/web/status/1272809582390210562,"RT @beyondblue: It's Men's Health Week! Over the next few days, we'll be showcasing some stories of men who are finding ways to cope with t…",positive,Victoria,Female,(38-43)
mental-health-availability-australia,SenSHenderson, https://twitter.com/SenSHenderson,2020-07-18 04:23:35,https://twitter.com/i/web/status/1284343031450071040,"By the beautiful #BarwonRiver after some early morning exercise (with thanks to Archie!). During this very difficult time, early morning exercise, good food &amp; sleep are important ways to manage stress &amp; care for your mental health. For the latest info see https://t.co/FglgA7YhNk https://t.co/nyQQ0APX9T",positive,Victoria,Female,(38-43)
mental-health-awareness-australia,ingioz, https://twitter.com/ingioz,2020-07-09 01:36:27,https://twitter.com/i/web/status/1281039481387139073,"RT @beyondblue: As lockdown restrictions continue to fluctuate, you might be feeling unsettled or anxious about what this means for you or…",negative,,Female,(8-12)
mental-health-awareness-australia,ingioz, https://twitter.com/ingioz,2020-07-23 04:38:57,https://twitter.com/i/web/status/1286158839146934277,"RT @healthgovau: COVID-19 is changing the lives of people around the world, but for many Australians the impact of the 2020 bushfires is al…",negative,,Female,(8-12)
mental-health-general-australia,ingioz, https://twitter.com/ingioz,2020-07-24 13:04:00,https://twitter.com/i/web/status/1286648324582326277,"RT @ian_hickie: Unemployment to soar as economy suffers deep recession#. The big impact on mental health is job loss, along with social dis…",negative,,Female,(8-12)
mental-health-awareness-australia,ingioz, https://twitter.com/ingioz,2020-07-25 10:35:53,https://twitter.com/i/web/status/1286973439308226561,"RT @OpenArmsSupport: It’s Stress Down Day.  Take some ‘you’ time today.  Meditate, go for a walk, do some yoga, have a nap, do whatever soo…",positive,,Female,(8-12)
mental-health-availability-australia,ingioz, https://twitter.com/ingioz,2020-07-27 00:01:05,https://twitter.com/i/web/status/1287538464695566336,RT @ian_hickie: Australia coronavirus: More mental health funding needed https://t.co/L1GWc1Yt7d,negative,,Female,(8-12)
mental-health-availability-australia,jona_gojira, https://twitter.com/jona_gojira,2020-07-24 01:44:04,https://twitter.com/i/web/status/1286477214582677506,"BeyondBlue https://t.co/JvgFouN8Ml   Beyond Blue provides information and support to help everyone in Australia achieve their best possible mental health, whatever their age and wherever they live.  2/",positive,Victoria,Female,(48-53)
mental-health-awareness-australia,jona_gojira, https://twitter.com/jona_gojira,2020-07-24 01:44:04,https://twitter.com/i/web/status/1286477214582677506,"BeyondBlue https://t.co/JvgFouN8Ml   Beyond Blue provides information and support to help everyone in Australia achieve their best possible mental health, whatever their age and wherever they live.  2/",positive,Victoria,Female,(48-53)
mental-health-awareness-australia,jona_gojira, https://twitter.com/jona_gojira,2020-07-24 01:44:04,https://twitter.com/i/web/status/1286477216201637888,"Lifeline https://t.co/pqoL9wPP64   Lifeline is an anonymous and confidential 24-hour crisis support line. You can call Lifeline to discuss all types of personal difficulties, including thoughts of suicide, 24 hours a day, 7 days a week.   3/",neutral,Victoria,Female,(48-53)
mental-health-awareness-australia,jona_gojira, https://twitter.com/jona_gojira,2020-07-24 01:44:04,https://twitter.com/i/web/status/1286477217770299393,Suicide Call Back Service https://t.co/cvnkbMwXrM  The Suicide Call Back Service is a confidential 24-hour crisis support line. You can call if you or someone you know is at risk of suicide or if you or someone you know has been affected by suicide.   4/,negative,Victoria,Female,(48-53)
mental-health-awareness-australia,jona_gojira, https://twitter.com/jona_gojira,2020-07-24 01:44:05,https://twitter.com/i/web/status/1286477219376664578,"Kids Helpline https://t.co/ybPH1b8qo1   The Kids Helpline is a 24-hour telephone service that is available for young people (aged between five and 25) who need advice, counselling or just someone to talk to.   5/",neutral,Victoria,Female,(48-53)
mental-health-availability-australia,GavinJPorter, https://twitter.com/GavinJPorter,2020-07-19 09:21:23,https://twitter.com/i/web/status/1284780364393664512,RT @TakedownMRAs: Feminists founded the UK's two largest men's mental health charities.  They run Australia's largest body dealing with dep…,neutral,,Male,(25-32)
mental-health-general-australia,rubin_angela, https://twitter.com/rubin_angela,2020-07-22 21:21:52,https://twitter.com/i/web/status/1286048842006241280,RT @healthgovau: The impacts of coronavirus are tough and can impact our mental health. We need to make sure we look after ourselves and se…,neutral,Queensland,Female,(60-100)
mental-health-awareness-australia,adrianwmasters, https://twitter.com/adrianwmasters,2020-07-20 20:39:23,https://twitter.com/i/web/status/1285313376579497984,"RT @philipdalidakis: Life tests us all &amp; that's at the best of times. Asking for help is a strength, not a weakness.   Lifeline on 13 11 14…",positive,Victoria,Male,(25-32)
mental-health-awareness-australia,BradSabbath, https://twitter.com/BradSabbath,2020-07-20 07:21:37,https://twitter.com/i/web/status/1285112611592265734,"RT @CFCCheersquad: For crisis support, please contact Lifeline at https://t.co/coPRPIUSbP or  13 11 14.  Or Beyond Blue at https://t.co/Yda…",neutral,New South Wales,Female,(25-32)
mental-health-awareness-australia,MissKymmie77, https://twitter.com/MissKymmie77,2020-07-16 10:24:15,https://twitter.com/i/web/status/1283709023024365568,"RT @1800RESPECT: Physically, mentally, emotionally, and verbally abused. I would say all of those abuses are the cage that the #financiala…",negative,,Female,(60-100)
mental-health-availability-australia,mpwoodhead, https://twitter.com/mpwoodhead,2020-07-19 22:36:40,https://twitter.com/i/web/status/1284980503615946753,"Prisons have become de facto mental health institutions, but with no mental health services. And where staff treat mental health symptoms as a disciplinary problem  https://t.co/QHsNnbmBNy via @theage",negative,New South Wales,Male,(4-6)
mental-health-availability-australia,noismill, https://twitter.com/noismill,2020-07-21 09:13:56,https://twitter.com/i/web/status/1285503265073840129,RT @RitaPanahi: Australia’s top mental health experts have warned that the economic &amp; social effects of the pandemic will lead to a dramati…,negative,,Male,(25-32)
