tweet_topic,user_id,user_URL,created_at,URL,tweet_text,sentiment,pos_possibility,neg_possibility,neu_possibility,state,gender,age,count_retweet,count_like,count_reply,original_status_id
mental-health-general-australia,AlexDevantier, https://twitter.com/AlexDevantier,2020-09-07 07:39:32,https://twitter.com/i/web/status/1302723130360643584,"RT @drpete00: Joint press release about VIC from @ScottMorrisonMP, @JoshFrydenberg &amp; @GregHuntMP today.  Here’s the first 3 paragraphs: - E…",neutral,0.0985,0.09756,0.80394,Victoria,Female,(38-43),0,0,0,1302516911511539712
mental-health-awareness-australia,JohnRob16933826, https://twitter.com/JohnRob16933826,2020-09-11 21:31:43,https://twitter.com/i/web/status/1304382107104337920,RT @AlboMP: This is a really challenging topic for many. If you or anyone you know needs help:  Lifeline on 13 11 14  Kids Helpline on 1800…,neutral,0.32975,0.10407,0.56619,Victoria,Female,(25-32),0,0,0,1303831892123238402
mental-health-general-australia,hazard_damien, https://twitter.com/hazard_damien,2020-09-17 11:48:14,https://twitter.com/i/web/status/1306409598597750784,RT @DanielBleakley: @ScottMorrisonMP @PatMcGorry @orygen_aus One of the biggest causes of mental health problems in young people is anxiety…,neutral,0.14341,0.12047,0.73612,New South Wales,Female,(38-43),0,0,0,1306406935168647169
mental-health-recognition-australia,MaddyLove2018, https://twitter.com/MaddyLove2018,2020-09-09 09:30:37,https://twitter.com/i/web/status/1303475863132938242,"@AndrewAndriotis @jamesmagner4 @NotAgai95160538 @VicGovDHHS The Victorian Coroner's Court has said suicide hasn't surged in lockdown https://t.co/rKSNFxKzL0. It's a bit dull, but there's light at the end of the tunnel. And there's a unity in what we're doing that people feel a part of - not so lonely. https://t.co/XhZOzKk43J",neutral,0.39682,0.02798,0.57519,,Female,(15-20),0,11,0,1303474789768601600
mental-health-availability-australia,paige_trnr, https://twitter.com/paige_trnr,2020-09-15 14:24:53,https://twitter.com/i/web/status/1305724242307162112,RT @annaspargoryan: Can we do some totally unscientific research I might use in my book? Polls. Australia only please.  Do you feel confide…,neutral,0.02822,0.31217,0.65961,,Female,(38-43),0,0,0,1305709251139043328
mental-health-recognition-australia,LeonieGSmith, https://twitter.com/LeonieGSmith,2020-09-12 22:51:56,https://twitter.com/i/web/status/1304764681605709825,RT @smh: The number of Australian streamers making money from Twitch has increased by 350 per cent in the past two years https://t.co/TDx23…,neutral,0.3273,0.11585,0.55685,,Male,(60-100),0,0,0,1304737954418561024
mental-health-general-australia,SquanderedTeeth, https://twitter.com/SquanderedTeeth,2020-09-10 15:28:20,https://twitter.com/i/web/status/1303928271227117568,RT @AdamBandt: FFS @ScottMorrisonMP it’s not enough to just ask “R U OK?” you also need to make sure people are ok.  Here’s some first step…,negative,0.00748,0.73909,0.25344,Queensland,Male,(60-100),0,0,0,1303920059954282498
mental-health-awareness-australia,KingLouisRocks, https://twitter.com/KingLouisRocks,2020-09-11 20:16:37,https://twitter.com/i/web/status/1304363208233246726,RT @01000011CS: @WgarNews @xskinn @roseannebyrne @lynlinking @WhteRbbnAdvocat @RightsLGBTI @3wombats @KingLouisRocks @Penny_MadamLash @Kosm…,neutral,0.15619,0.12281,0.721,Queensland,Male,(25-32),0,0,0,1304350983691014144
mental-health-availability-australia,JaneDryden4, https://twitter.com/JaneDryden4,2020-09-10 17:52:33,https://twitter.com/i/web/status/1303964566909595649,"RT @Ian56789: 🥳👏👍 Bravo!  Sky News host Alan Jones rips apart Australia's insane Covid Lockdown policies causing economic, financial, emoti…",positive,0.67637,0.04686,0.27676,New South Wales,Male,(60-100),0,0,0,1303811107333771270
mental-health-awareness-australia,NalavadiPreeti, https://twitter.com/NalavadiPreeti,2020-09-07 19:38:17,https://twitter.com/i/web/status/1302904010844680192,"RT @1800RESPECT: Violence comes in many forms. If you are in a relationship with someone who uses #violence, support is available. You can…",neutral,0.3455,0.08323,0.57127,South Australia,Female,(48-53),0,0,0,1301702779979935744
mental-health-availability-australia,deeedwardsEF, https://twitter.com/deeedwardsEF,2020-08-24 21:23:32,https://twitter.com/i/web/status/1297857065226924032,RT @neighbour_s: Extraordinary courage shown by the families speaking up tonight on #4Corners about the fatal gaps in mental health care in…,positive,0.91696,0.00681,0.07623,,Male,(60-100),0,0,0,1297847250987540482
mental-health-availability-australia,SenSHenderson, https://twitter.com/SenSHenderson,2020-09-10 10:53:16,https://twitter.com/i/web/status/1303859047582498816,If you are not ok - and many in our community are really struggling during this annus horribilis - please reach out. Help is out there.   @LifelineAust @beyondblue @KidsHelplineAU @headspace_aus and other mental health services really make a difference.  https://t.co/gBYsG0HT1G https://t.co/WVQyyLA4IP,positive,0.69002,0.0441,0.26587,Victoria,Female,(38-43),0,4,0,
mental-health-general-australia,SenSHenderson, https://twitter.com/SenSHenderson,2020-09-13 16:20:51,https://twitter.com/i/web/status/1305028651377856514,Delighted to welcome the announcement by @GregHuntMP of new #HeadtoHelp mental health clinics for #Geelong and #Ballarat.   These clinics will provide vital grassroots support including for the mental health toll caused by COVID-19.   For more details https://t.co/8otCuRuwm1,positive,0.95048,0.00442,0.0451,Victoria,Female,(38-43),0,14,0,
mental-health-general-australia,StuartH_VA, https://twitter.com/StuartH_VA,2020-09-10 17:10:06,https://twitter.com/i/web/status/1303953880921894913,RT @AdamBandt: FFS @ScottMorrisonMP it’s not enough to just ask “R U OK?” you also need to make sure people are ok.  Here’s some first step…,negative,0.00748,0.73909,0.25344,,Male,(4-6),0,0,0,1303920059954282498
mental-health-awareness-australia,ingioz, https://twitter.com/ingioz,2020-09-09 12:16:09,https://twitter.com/i/web/status/1303517521413173248,"RT @ReachOut_AUS: Talking to your child about suicide, and mental health more generally, can be difficult. However, having these conversati…",neutral,0.37362,0.0302,0.59618,,Female,(8-12),0,0,0,1303455997248311298
mental-health-awareness-australia,ingioz, https://twitter.com/ingioz,2020-09-17 11:03:00,https://twitter.com/i/web/status/1306398212199124992,A fantastic role model of how #anxiety #mentalillness doesn’t mean incompetence or lack of creativity.  Such a simple yet profound resource!  How clever...and it will help countless people. Congratulations on the accolades! https://t.co/zlwmMVHLsO,positive,0.99282,0.0009,0.00627,,Female,(8-12),0,2,0,
